local_index,visibility_ratio,block_ratio,mean_motion_magnitude
0,1.000000,0.000000,1.301686
1,1.000000,0.000000,2.300510
2,1.000000,0.000000,2.284700
3,0.924383,0.075617,1.940396
4,1.000000,0.000000,1.841386
5,0.544753,0.455247,3.693433
6,1.000000,0.000000,2.046950
7,0.276235,0.723765,0.971627
8,0.464506,0.535494,2.987156
9,0.932099,0.067901,1.570839
10,0.660494,0.339506,2.708085
11,1.000000,0.000000,3.943921
