local_index,mp_id,neutral_x,neutral_y,roi_x,roi_y,avg_visibility_ratio,avg_pred_dx,avg_pred_dy,avg_pred_dz,avg_true_dx,avg_true_dy,avg_true_dz
0,36,391.39739990234375,274.52923583984375,222.244873046875,102.92444610595703,1.0,-0.017823565751314163,0.004853952210396528,0.01358082890510559,-0.014570603147149086,0.003692947793751955,0.0122911361977458
1,50,361.22021484375,268.982177734375,143.48611450195312,92.18769073486328,1.0,-0.014663542620837688,0.0029526399448513985,0.01976177468895912,-0.01206373143941164,0.00128642946947366,0.018119901418685913
2,101,386.2616271972656,259.7604064941406,208.84112548828125,74.33824157714844,1.0,-0.015670325607061386,0.006258378271013498,0.013250150717794895,-0.013065368868410587,0.003983617760241032,0.012776895426213741
3,111,346.76715087890625,229.35415649414062,105.76536560058594,15.484613418579102,1.0,-0.007827367633581161,0.0074933054856956005,0.019144153222441673,-0.005835257470607758,0.005535812117159367,0.017599737271666527
4,116,333.60693359375,235.2425994873047,71.41880798339844,26.882144927978516,1.0,-0.006642569322139025,0.003844921477138996,0.02162194438278675,-0.00400116853415966,0.0027630277909338474,0.020253337919712067
5,117,354.2659912109375,238.89102172851562,125.33642578125,33.943946838378906,1.0,-0.01040676049888134,0.006508865859359503,0.018687715753912926,-0.007555968128144741,0.004888670984655619,0.017303025349974632
6,118,367.7911071777344,245.6065673828125,160.6353302001953,46.94239807128906,1.0,-0.012392343021929264,0.006906270980834961,0.015888448804616928,-0.009531062096357346,0.004550305660814047,0.014972344972193241
7,123,332.783447265625,258.94195556640625,69.26960754394531,72.75406646728516,1.0,-0.0072502694092690945,0.0014505769358947873,0.02460860088467598,-0.0053889150731265545,0.0005112223443575203,0.022739730775356293
8,135,339.931884765625,345.09783935546875,87.92615509033203,239.51539611816406,1.0,-0.009865927509963512,-0.0038980976678431034,0.027826271951198578,-0.007579201832413673,-0.00401036674156785,0.026775101199746132
9,137,314.52984619140625,257.2080993652344,21.62993621826172,69.39805603027344,1.0,-0.0016198796220123768,0.00039366923738271,0.02631932869553566,0.0010941000655293465,-0.0005912696360610425,0.024510635063052177
10,138,327.10443115234375,327.9823913574219,54.44807052612305,206.3871307373047,0.8520709872245789,-0.005197187885642052,-0.0042692627757787704,0.028205154463648796,-0.0046728914603590965,-0.003993440419435501,0.027858195826411247
11,147,331.23162841796875,280.99481201171875,65.21955108642578,115.43905639648438,0.8698225021362305,-0.007835309021174908,-9.871993097476661e-05,0.025386488065123558,-0.006023449823260307,-0.0010168590815737844,0.024515079334378242
12,177,314.24212646484375,281.75714111328125,20.8790225982666,116.91461181640625,0.9585798978805542,-0.0005491967312991619,-0.0017590508796274662,0.029344186186790466,0.0001299765717703849,-0.0021061929874122143,0.026220470666885376
13,187,348.2283020019531,290.36053466796875,109.57879638671875,133.567138671875,0.10059171915054321,-0.007711635436862707,0.0038653919473290443,0.010641733184456825,-0.010687312111258507,-0.0010031750425696373,0.022040020674467087
14,192,339.5745849609375,315.262939453125,86.99365234375,181.7676544189453,0.4201183319091797,-0.009112461470067501,-0.00343344546854496,0.026660798117518425,-0.008662157692015171,-0.003007457824423909,0.025360967963933945
15,203,395.9478454589844,290.1585388183594,234.1209716796875,133.1761474609375,1.0,-0.018067046999931335,0.00484571373090148,0.012588405050337315,-0.014912164770066738,0.003256130963563919,0.011975743807852268
16,205,375.0369567871094,285.43585205078125,179.54611206054688,124.0350341796875,1.0,-0.01702818088233471,0.0035287903156131506,0.016643300652503967,-0.01483331248164177,0.0014772774884477258,0.016020050272345543
17,206,386.4034118652344,300.0810546875,209.21116638183594,152.38194274902344,0.6272189617156982,-0.01729714125394821,0.008407678455114365,0.012323697097599506,-0.015338454395532608,0.0008443488040938973,0.014827460050582886
18,207,362.6274108886719,301.64581298828125,147.15872192382812,155.41065979003906,0.4792899489402771,-0.011849680915474892,0.005874344147741795,0.01697755791246891,-0.013517908751964569,-0.0010853095445781946,0.01990347169339657
19,212,366.9809875488281,332.36541748046875,158.52101135253906,214.8708038330078,1.0,-0.016705330461263657,-0.0025264909490942955,0.024487992748618126,-0.01302844937890768,-0.0043525672517716885,0.022648198530077934
20,213,330.206298828125,299.7640686035156,62.54356384277344,151.76840209960938,0.3550295829772949,-0.0074638924561440945,-0.004826681688427925,0.028288014233112335,-0.006025868933647871,-0.0023677090648561716,0.025755224749445915
21,214,352.3154296875,330.25958251953125,120.24569702148438,210.7947998046875,1.0,-0.012873072177171707,-0.0015807381132617593,0.025490740314126015,-0.01145539153367281,-0.003261508420109749,0.024161355569958687
22,215,317.03802490234375,305.3038635253906,28.175975799560547,162.4910888671875,0.4082840383052826,-0.0038476174231618643,-0.004643376916646957,0.03214099258184433,-0.0013602453982457519,-0.0033401716500520706,0.027805132791399956
23,216,376.218017578125,313.69580078125,182.6285400390625,178.73434448242188,0.6272189617156982,-0.011077520437538624,0.0039757778868079185,0.015803435817360878,-0.014478707686066628,-0.0022275932133197784,0.018606102094054222
24,227,316.82147216796875,233.65234375,27.61079978942871,23.80408477783203,1.0,-7.589959295728477e-06,0.0024699412751942873,0.0240532997995615,0.00151250755880028,0.0010593549814075232,0.02267826907336712
